question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
List the main components of Game Theory.,Economics,Game Theory,74.0,0.74,1255.0,928.0,8.2,Remember,Moderate
"Differentiate between Magnetic Effects of Current and its alternative, giving three points of distinction.",Physics,Magnetic Effects of Current,47.1,0.47,166.0,78.0,9.0,Analyze,Medium
Argue the ethical implications of recent discoveries in Discrete Math.,Mathematics,Discrete Math,10.82,0.11,1797.0,194.0,18.4,Evaluate,Hard
State the primary theorem in Networking.,Computer Science,Networking,59.29,0.59,2641.0,1565.0,11.7,Remember,Medium
Calculate the expected outcome using principles of Optics.,Physics,Optics,53.6,0.54,2134.0,1143.0,6.1,Apply,Medium
Summarize the key findings related to Optimization.,Mathematics,Optimization,69.06,0.69,1780.0,1229.0,6.6,Understand,Moderate
Interpret the significance of Machine Learning in Computer Science.,Computer Science,Machine Learning,70.69,0.71,1111.0,785.0,9.4,Understand,Moderate
Interpret the significance of Data Structures in Computer Science.,Computer Science,Data Structures,91.91,0.92,1484.0,1363.0,3.2,Understand,Easy
List the main components of Operating Systems.,Computer Science,Operating Systems,65.82,0.66,1427.0,939.0,5.1,Remember,Medium
Recall the definition of Machine Learning in the context of Computer Science.,Computer Science,Machine Learning,61.67,0.62,1794.0,1106.0,11.9,Remember,Medium
List the main components of Game Theory.,Economics,Game Theory,75.09,0.75,1657.0,1244.0,3.4,Remember,Easy
Assess the validity of the dominant theory in Ecology.,Biology,Ecology,31.01,0.31,1744.0,540.0,13.6,Evaluate,Hard
Define the core principles of Ecology.,Biology,Ecology,29.87,0.3,1620.0,483.0,17.8,Remember,Hard
Differentiate between the theoretical and practical aspects of Calculus.,Mathematics,Calculus,40.02,0.4,1826.0,730.0,10.0,Analyze,Moderate
Design a novel experiment to further test the boundaries of Probability.,Mathematics,Probability,26.02,0.26,1974.0,513.0,21.9,Create,Hard
Use the standard model of Operating Systems to predict future states.,Computer Science,Operating Systems,70.92,0.71,1710.0,1212.0,11.6,Apply,Moderate
Compare and contrast the primary approaches to Classical Mechanics.,Physics,Classical Mechanics,46.11,0.46,1433.0,660.0,7.6,Analyze,Moderate
Apply the concepts of Thermodynamics to a real-world scenario.,Physics,Thermodynamics,65.7,0.66,1127.0,740.0,9.1,Apply,Medium
